,category,area,Type of use,Type of institution
1508,regional simulation,Hidrology,Research,Center Research
1509,precipitation,Environmental,Research,Universities
1510,mma simulation,Environmental,Research,Universities
1511,flow,Hidrology,Data Analysis,Universities
1512,mma simulation,Hidrology,Engineering projects,Private sector (companies)
1513,camels,Hidrology,Research,Universities
1514,flow,Building/Architecture,Data Analysis,Universities
1515,mma simulation,Hidrology,Research,Universities
1517,precipitation,Economy/Sales/trends markets,Data Analysis,Other educational institutions
1518,mma simulation,Energy,Research,Private sector (companies)
1519,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Trade-union associations and other organizations
1520,regional simulation,Fishing/Aquaculture,Data Analysis,Public sector (state agencies)
1521,temperature,Energy,Research,Universities
1522,regional simulation,Geografy/Geophysics/Geology,Research,Universities
1523,flow,Hidrology,Research,Center Research
1524,flow,Ecology,Research,Universities
1525,precipitation,Hidrology,Research,Center Research
1526,precipitation,Hidrology,Research,Universities
1527,temperature,Hidrology,Research,Center Research
1528,camels,Economy/Sales/trends markets,Research,Private sector (companies)
1529,camels,Forestry,Research,Universities
1530,flow,Building/Architecture,Data Analysis,Universities
1532,precipitation,Forestry,Research,Universities
1533,precipitation,Meteorology,Data Analysis,Public sector (state agencies)
1534,global simulation,Telecomunications,Research,Private sector (companies)
1535,global simulation,Environmental,Research,Universities
1536,regional simulation,Hidrology,Research,Universities
1537,precipitation,Environmental,Data Analysis,Private sector (companies)
1538,flow,Environmental,Research,Universities
1540,precipitation,Hidrology,Data Analysis,Universities
1542,temperature,Environmental,Research,Universities
1543,precipitation,Environmental,Research,Universities
1544,global simulation,Mining,Research,Universities
1545,temperature,Building/Architecture,Research,Universities
1546,precipitation,Meteorology,Research,Universities
1547,mma simulation,Meteorology,Research,Universities
1548,precipitation,Building/Architecture,Engineering projects,Private sector (companies)
1549,precipitation,Meteorology,Research,Private sector (companies)
1550,mma simulation,Forestry,Research,Center Research
1551,camels,Environmental,Research,Universities
1553,global simulation,Environmental,Teaching,Universities
1554,flow,Agro/Agroindustry/Irrigation,Data Analysis,Trade-union associations and other organizations
1555,mma simulation,Meteorology,Research,Universities
1557,max/min temperature,Energy,Engineering projects,Private sector (companies)
1558,cr2met,Forestry,Research,Universities
1559,flow,Hidrology,Research,Universities
1560,precipitation,Environmental,Data Analysis,Private sector (companies)
1561,temperature,Meteorology,Research,Private sector (companies)
1563,precipitation,Forestry,Research,Independent
1564,temperature,Economy/Sales/trends markets,Research,Universities
1565,temperature,Tourism,Research,Universities
1566,precipitation,Building/Architecture,Data Analysis,Private sector (companies)
1567,precipitation,Hidrology,Data Analysis,Universities
1568,precipitation,Hidrology,Data Analysis,Universities
1570,camels,Hidrology,Research,Universities
1571,precipitation,Environmental,Research,Universities
1572,precipitation,Meteorology,Research,Universities
1573,precipitation,Hidrology,Research,Universities
1574,temperature,Meteorology,Data Analysis,Universities
1575,cr2met,Hidrology,Engineering projects,Public sector (state agencies)
1576,precipitation,Environmental,Research,Universities
1577,precipitation,Meteorology,Research,Universities
1578,flow,Hidrology,Data Analysis,Independent
1579,flow,Environmental,Research,Universities
1580,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Trade-union associations and other organizations
1581,precipitation,Education,Data Analysis,Universities
1582,max/min temperature,Informatics/Computing,Data Analysis,Universities
1583,precipitation,Mathematics/Statistics/Modeling,Data Analysis,Private sector (companies)
1584,precipitation,Mathematics/Statistics/Modeling,Data Analysis,Private sector (companies)
1585,flow,Hidrology,Data Analysis,Universities
1586,precipitation,Meteorology,Data Analysis,Universities
1587,flow,Environmental,Research,Universities
1588,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
1589,camels,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
1590,temperature,Fishing/Aquaculture,Data Analysis,Private sector (companies)
1591,precipitation,Hidrology,Research,Universities
1592,temperature,Sanitary Services,Research,Universities
1593,precipitation,Economy/Sales/trends markets,Research,Universities
1594,precipitation,Communications,Data Analysis,Private sector (companies)
1595,max/min temperature,Transport,Data Analysis,Private sector (companies)
1596,precipitation,Forestry,Data Analysis,Public sector (state agencies)
1597,flow,Environmental,Data Analysis,Universities
1598,cr2met,Hidrology,Research,Universities
1599,precipitation,Hidrology,Data Analysis,Universities
1600,precipitation,Education,Teaching,Universities
1601,flow,Meteorology,Research,Universities
1602,flow,Environmental,Data Analysis,Independent
1603,camels,Environmental,Research,Universities
1604,precipitation,Economy/Sales/trends markets,Research,Universities
1605,cr2met,Environmental,Research,Universities
1606,precipitation,Building/Architecture,Engineering projects,Public sector (state agencies)
1607,flow,Hidrology,Engineering projects,Universities
1608,max/min temperature,Education,Teaching,Other educational institutions
1609,flow,Hidrology,Teaching,Universities
1610,precipitation,Informatics/Computing,Data Analysis,Independent
1611,precipitation,Hidrology,Engineering projects,Private sector (companies)
1612,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Public sector (state agencies)
1613,temperature,Meteorology,Research,Universities
1614,precipitation,Physical,Research,Universities
1615,temperature,Environmental,Data Analysis,Independent
1616,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Universities
1618,precipitation,Environmental,Research,Trade-union associations and other organizations
1619,temperature,Industrial,Data Analysis,Universities
1621,precipitation,Forestry,Data Analysis,Public sector (state agencies)
1622,precipitation,Transport,Engineering projects,Public sector (state agencies)
1623,precipitation,Hidrology,Data Analysis,Private sector (companies)
1624,precipitation,Meteorology,Research,Private sector (companies)
1625,cr2met,Hidrology,Research,Universities
1626,cr2met,Hidrology,Research,Universities
1627,global simulation,Mining,Engineering projects,Private sector (companies)
1628,flow,Energy,Engineering projects,Universities
1629,cr2met,Hidrology,Engineering projects,Private sector (companies)
1630,temperature,Economy/Sales/trends markets,Research,Private sector (companies)
1631,precipitation,Ecology,Data Analysis,Universities
1632,precipitation,Environmental,Research,Center Research
1633,flow,Mathematics/Statistics/Modeling,Research,Universities
1634,precipitation,Economy/Sales/trends markets,Research,Universities
1635,flow,Oceanography,Research,Center Research
1636,camels,Geografy/Geophysics/Geology,Research,Universities
1637,cr2met,Environmental,Data Analysis,Private sector (companies)
1638,cr2met,Environmental,Research,Center Research
1639,precipitation,Geografy/Geophysics/Geology,Data Analysis,Universities
1641,flow,Environmental,Research,Universities
1642,precipitation,Mathematics/Statistics/Modeling,Engineering projects,Universities
1643,precipitation,Forestry,Research,Universities
1644,precipitation,Building/Architecture,Research,Universities
1645,precipitation,Health,Data Analysis,Public sector (state agencies)
1646,flow,Environmental,Data Analysis,Universities
1647,flow,Energy,Engineering projects,Universities
1648,precipitation,Building/Architecture,Teaching,Universities
1649,precipitation,Forestry,Data Analysis,Independent
1650,temperature,Energy,Teaching,Center Research
1651,precipitation,Mathematics/Statistics/Modeling,Research,Universities
1652,precipitation,Hidrology,Research,Universities
1653,precipitation,Environmental,Research,Universities
1654,temperature,Building/Architecture,Data Analysis,Public sector (state agencies)
1655,precipitation,Hidrology,Research,Universities
1656,precipitation,Mathematics/Statistics/Modeling,Data Analysis,Universities
1657,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Public sector (state agencies)
1658,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Public sector (state agencies)
1659,max/min temperature,Forestry,Data Analysis,Universities
1661,precipitation,Environmental,Research,Universities
1662,flow,Oceanography,Research,Universities
1664,precipitation,Hidrology,Data Analysis,Universities
1665,cr2met,Environmental,Research,Universities
1666,flow,Geografy/Geophysics/Geology,Research,Universities
1667,precipitation,Environmental,Data Analysis,Universities
1668,global simulation,Hidrology,Research,Universities
1669,flow,Hidrology,Data Analysis,Universities
1670,precipitation,Agro/Agroindustry/Irrigation,Research,Center Research
1671,flow,Meteorology,Research,Universities
1672,precipitation,Energy,Data Analysis,Private sector (companies)
1674,temperature,Mathematics/Statistics/Modeling,Research,Universities
1675,temperature,Mathematics/Statistics/Modeling,Research,Universities
1676,flow,Agro/Agroindustry/Irrigation,Data Analysis,Trade-union associations and other organizations
1677,temperature,Economy/Sales/trends markets,Data Analysis,Universities
1678,temperature,Ecology,Research,Universities
1679,precipitation,Meteorology,Research,Universities
1680,precipitation,Environmental,Data Analysis,Independent
1681,precipitation,Tourism,Data Analysis,Private sector (companies)
1682,precipitation,Geografy/Geophysics/Geology,Data Analysis,Universities
1683,max/min temperature,Meteorology,Teaching,Universities
1684,global simulation,Hidrology,Research,Universities
1685,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Public sector (state agencies)
1686,precipitation,Hidrology,Engineering projects,Universities
1687,precipitation,Environmental,Research,Universities
1688,cr2met,Geografy/Geophysics/Geology,Research,Universities
1689,flow,Mining,Research,Universities
1690,flow,Hidrology,Teaching,Universities
1691,flow,Hidrology,Teaching,Universities
1692,precipitation,Mathematics/Statistics/Modeling,Teaching,Universities
1693,precipitation,Hidrology,Data Analysis,Universities
1694,max/min temperature,Environmental,Research,Universities
1695,flow,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
1696,flow,Hidrology,Engineering projects,Private sector (companies)
1697,temperature,Building/Architecture,Engineering projects,Private sector (companies)
1698,global simulation,Hidrology,Research,Universities
1699,precipitation,Agro/Agroindustry/Irrigation,Research,Universities
1700,flow,Hidrology,Research,Universities
1701,precipitation,Hidrology,Research,Universities
1702,precipitation,Mathematics/Statistics/Modeling,Research,Universities
1703,dendro_clima,Meteorology,Research,Universities
1704,precipitation,Education,Research,Universities
1705,cr2met,Hidrology,Research,Universities
1706,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Independent
1707,flow,Hidrology,Data Analysis,Universities
1708,temperature,Mathematics/Statistics/Modeling,Teaching,Universities
1709,precipitation,Communications,Data Analysis,Independent
1710,camels,Environmental,Research,Center Research
1711,precipitation,Energy,Teaching,Center Research
1712,camels,Geografy/Geophysics/Geology,Data Analysis,Universities
1713,camels,Energy,Engineering projects,Private sector (companies)
1714,cr2met,Hidrology,Research,Universities
1715,precipitation,Ecology,Teaching,Universities
1716,precipitation,Hidrology,Teaching,Universities
1718,precipitation,Mathematics/Statistics/Modeling,Data Analysis,Universities
1719,precipitation,Hidrology,Data Analysis,Universities
1720,precipitation,Building/Architecture,Data Analysis,Universities
1721,precipitation,Sanitary Services,Engineering projects,Public sector (state agencies)
1722,flow,Mathematics/Statistics/Modeling,Research,Universities
1723,temperature,Education,Data Analysis,Independent
1724,precipitation,Meteorology,Data Analysis,Private sector (companies)
1725,flow,Hidrology,Data Analysis,Other educational institutions
1726,flow,Sanitary Services,Data Analysis,Private sector (companies)
1727,precipitation,Forestry,Engineering projects,Private sector (companies)
1728,cr2met,Ecology,Research,Public sector (state agencies)
1729,precipitation,Building/Architecture,Engineering projects,Public sector (state agencies)
1730,temperature,Meteorology,Data Analysis,Universities
1731,precipitation,Agro/Agroindustry/Irrigation,Research,Universities
1732,precipitation,Mining,Engineering projects,Private sector (companies)
1733,precipitation,Environmental,Data Analysis,Independent
1735,precipitation,Agro/Agroindustry/Irrigation,Research,Independent
1736,flow,Hidrology,Data Analysis,Universities
1737,precipitation,Meteorology,Data Analysis,Private sector (companies)
1739,flow,Hidrology,Research,Center Research
1740,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
1741,precipitation,Agro/Agroindustry/Irrigation,Research,Universities
1742,precipitation,Building/Architecture,Research,Universities
1743,global simulation,Hidrology,Research,Universities
1744,temperature,Meteorology,Research,Universities
1745,flow,Agro/Agroindustry/Irrigation,Data Analysis,Public sector (state agencies)
1746,flow,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
1747,precipitation,Hidrology,Data Analysis,Universities
1748,precipitation,Mining,Engineering projects,Private sector (companies)
1749,max/min temperature,Mining,Data Analysis,Private sector (companies)
1750,global simulation,GIS/Teledetection,Research,Universities
1752,precipitation,Economy/Sales/trends markets,Engineering projects,Private sector (companies)
1753,precipitation,Hidrology,Research,Universities
1754,precipitation,Agro/Agroindustry/Irrigation,Research,Center Research
1755,precipitation,Hidrology,Data Analysis,Universities
1756,precipitation,Hidrology,Teaching,Universities
1757,precipitation,Hidrology,Research,Universities
1758,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
1759,precipitation,Education,Data Analysis,Independent
1760,flow,Sport,Data Analysis,Independent
1761,precipitation,Education,Research,Other educational institutions
1762,precipitation,Education,Research,Other educational institutions
1763,flow,Anthropology,Research,Universities
1765,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
1766,precipitation,Economy/Sales/trends markets,Research,Universities
1767,global simulation,Environmental,Teaching,Trade-union associations and other organizations
1768,precipitation,Mathematics/Statistics/Modeling,Data Analysis,Universities
1769,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Independent
1770,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Independent
1771,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Independent
1772,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Independent
1773,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
1774,flow,Fishing/Aquaculture,Research,Public sector (state agencies)
1776,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
1777,precipitation,Agro/Agroindustry/Irrigation,Research,Private sector (companies)
1778,cr2met,Environmental,Research,Public sector (state agencies)
1779,precipitation,Forestry,Teaching,Independent
1780,precipitation,Forestry,Teaching,Independent
1781,precipitation,Forestry,Teaching,Independent
1782,precipitation,Education,Data Analysis,Universities
1783,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Independent
1784,precipitation,Building/Architecture,Research,Independent
1787,cr2met,Meteorology,Data Analysis,Universities
1788,cr2met,Mathematics/Statistics/Modeling,Data Analysis,Independent
1795,precipitation,Communications,Engineering projects,Private sector (companies)
1796,precipitation,Environmental,Teaching,Other educational institutions
1798,precipitation,Agro/Agroindustry/Irrigation,Research,Private sector (companies)
1800,flow,Geografy/Geophysics/Geology,Teaching,Universities
1802,precipitation,Environmental,Engineering projects,Private sector (companies)
1803,precipitation,Hidrology,Engineering projects,Private sector (companies)
1804,flow,Fishing/Aquaculture,Research,Universities
1805,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
1806,temperature,Energy,Data Analysis,Private sector (companies)
1807,precipitation,Geografy/Geophysics/Geology,Data Analysis,Universities
1808,precipitation,Meteorology,Data Analysis,Public sector (state agencies)
1809,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
1810,precipitation,Meteorology,Data Analysis,Independent
1811,dendro_clima,Hidrology,Data Analysis,Universities
1812,flow,Environmental,Research,Universities
1813,flow,Hidrology,Research,Independent
1814,precipitation,Ecology,Research,Universities
1815,precipitation,Geografy/Geophysics/Geology,Data Analysis,Universities
1816,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Independent
1817,precipitation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
1818,precipitation,Meteorology,Data Analysis,Universities
1819,precipitation,Informatics/Computing,Teaching,Universities
1820,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
1821,cr2met,Geografy/Geophysics/Geology,Research,Universities
1822,cr2met,Hidrology,Engineering projects,Universities
1823,cr2met,Paleoclimate,Research,Universities
1824,flow,Fishing/Aquaculture,Data Analysis,Private sector (companies)
1825,precipitation,Geografy/Geophysics/Geology,Data Analysis,Universities
1826,flow,Environmental,Data Analysis,Universities
1827,flow,Hidrology,Engineering projects,Universities
1829,precipitation,Communications,Engineering projects,Private sector (companies)
1830,precipitation,Communications,Engineering projects,Private sector (companies)
1835,temperature,Medicine,Data Analysis,Universities
1836,precipitation,Economy/Sales/trends markets,Data Analysis,Private sector (companies)
1837,flow,Environmental,Data Analysis,Universities
1838,global simulation,Building/Architecture,Research,Universities
1839,precipitation,Geografy/Geophysics/Geology,Data Analysis,Private sector (companies)
1840,dendro_clima,Environmental,Data Analysis,Trade-union associations and other organizations
1842,flow,Geografy/Geophysics/Geology,Data Analysis,Universities
1843,temperature,Agro/Agroindustry/Irrigation,Data Analysis,Public sector (state agencies)
1844,flow,Geografy/Geophysics/Geology,Research,Universities
1845,cr2met,Hidrology,Engineering projects,Universities
1846,precipitation,Forestry,Data Analysis,Private sector (companies)
1847,flow,Hidrology,Teaching,Universities
1848,temperature,Mathematics/Statistics/Modeling,Research,Universities
1849,flow,Sanitary Services,Engineering projects,Private sector (companies)
1850,precipitation,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
1851,camels,Environmental,Data Analysis,NGO
1852,flow,Hidrology,Research,Universities
1854,precipitation,GIS/Teledetection,Data Analysis,Independent
1855,flow,Energy,Engineering projects,Private sector (companies)
1856,temperature,Building/Architecture,Engineering projects,Independent
1857,precipitation,Environmental,Data Analysis,Private sector (companies)
1858,camels,Hidrology,Research,Universities
1859,camels,Hidrology,Teaching,Universities
1860,camels,Hidrology,Research,Universities
1862,temperature,Education,Research,Universities
1863,precipitation,Meteorology,Engineering projects,Private sector (companies)
1864,precipitation,Hidrology,Data Analysis,Universities
1865,cr2met,Hidrology,Data Analysis,Universities
1866,precipitation,Hidrology,Data Analysis,Universities
1869,flow,Hidrology,Engineering projects,Private sector (companies)
1870,precipitation,Agro/Agroindustry/Irrigation,Engineering projects,Private sector (companies)
1871,camels,Hidrology,Data Analysis,Public sector (state agencies)
1872,precipitation,Geografy/Geophysics/Geology,Research,Universities
1873,cr2met,Mathematics/Statistics/Modeling,Research,Universities
1874,global simulation,Energy,Research,Universities
1875,precipitation,Education,Research,Universities
1876,precipitation,Hidrology,Research,Universities
1877,flow,Hidrology,Engineering projects,Private sector (companies)
1878,flow,Energy,Engineering projects,Universities
1879,flow,Hidrology,Data Analysis,Universities
1881,precipitation,Environmental,Research,Public sector (state agencies)
1882,flow,Environmental,Research,Universities
1883,flow,Agro/Agroindustry/Irrigation,Data Analysis,Private sector (companies)
1884,precipitation,Building/Architecture,Data Analysis,Private sector (companies)
1885,precipitation,Geografy/Geophysics/Geology,Data Analysis,Independent
1886,precipitation,Mathematics/Statistics/Modeling,Data Analysis,Private sector (companies)
1887,flow,Geografy/Geophysics/Geology,Research,Universities
1888,precipitation,Sociology,Research,Universities
1889,flow,Environmental,Research,Universities
1890,cr2met,Hidrology,Research,Center Research
1891,camels,Forestry,Engineering projects,Universities
1892,global simulation,Geografy/Geophysics/Geology,Research,Universities
1893,global simulation,Hidrology,Data Analysis,Universities
1894,precipitation,Environmental,Research,Private sector (companies)
1895,cr2met,Meteorology,Research,Private sector (companies)
1896,precipitation,Sanitary Services,Data Analysis,Private sector (companies)
1897,precipitation,Environmental,Data Analysis,Private sector (companies)
1898,precipitation,Environmental,Data Analysis,Universities
1899,temperature,Mathematics/Statistics/Modeling,Research,Universities
1900,precipitation,Meteorology,Research,Universities
1901,dendro_clima,Environmental,Data Analysis,Universities
1902,precipitation,Building/Architecture,Data Analysis,Private sector (companies)
1903,precipitation,GIS/Teledetection,Data Analysis,Universities
1905,camels,Geografy/Geophysics/Geology,Data Analysis,Universities
1906,temperature,Mathematics/Statistics/Modeling,Teaching,Other educational institutions
1911,cr2met,Hidrology,Engineering projects,Universities
1912,flow,Meteorology,Research,Universities
1913,cr2met,Hidrology,Data Analysis,Universities
1914,camels,Environmental,Data Analysis,Universities
1915,precipitation,Hidrology,Data Analysis,Universities
1916,flow,Economy/Sales/trends markets,Research,Universities
1918,precipitation,Agro/Agroindustry/Irrigation,Research,Universities
1919,flow,Hidrology,Engineering projects,Independent
1920,temperature,Environmental,Research,Universities
1921,flow,Geografy/Geophysics/Geology,Research,Universities
1922,precipitation,Informatics/Computing,Research,Universities
1923,flow,Environmental,Research,Public sector (state agencies)
1924,camels,Hidrology,Data Analysis,Universities
1925,flow,Environmental,Research,Universities
1926,cr2met,Economy/Sales/trends markets,Research,Universities
1927,temperature,Agro/Agroindustry/Irrigation,Research,Universities
1928,flow,Hidrology,Data Analysis,Universities
1929,flow,Geografy/Geophysics/Geology,Research,Universities
1930,precipitation,Hidrology,Data Analysis,Universities
1931,cr2met,Geografy/Geophysics/Geology,Research,Universities
1932,flow,Mathematics/Statistics/Modeling,Teaching,Universities
1933,precipitation,Geografy/Geophysics/Geology,Research,Universities
1935,cr2met,Geografy/Geophysics/Geology,Teaching,Universities
1937,precipitation,Hidrology,Data Analysis,Universities
1938,dendro_peru,Forestry,Research,Universities
1940,temperature,Forestry,Research,Universities
1941,temperature,Hidrology,Engineering projects,Universities
1942,cr2met,Meteorology,Research,Universities
1943,precipitation,Hidrology,Teaching,NGO
1944,cr2met,Hidrology,Data Analysis,Universities
1945,precipitation,Mathematics/Statistics/Modeling,Research,Universities
1946,precipitation,Hidrology,Data Analysis,Universities
1947,cr2met,Environmental,Research,Universities
1948,global simulation,Environmental,Research,Universities
1949,precipitation,Meteorology,Data Analysis,Universities
1950,flow,Building/Architecture,Research,Universities
1951,flow,Education,Data Analysis,Universities
1952,precipitation,Meteorology,Data Analysis,Public sector (state agencies)
1953,temperature,Hidrology,Data Analysis,Universities
1954,precipitation,Environmental,Research,Universities
1955,cr2met,Geografy/Geophysics/Geology,Research,Universities
1956,global simulation,Hidrology,Research,Universities
1957,flow,Geografy/Geophysics/Geology,Data Analysis,Universities
1958,flow,Geografy/Geophysics/Geology,Data Analysis,Universities
1959,temperature,Agro/Agroindustry/Irrigation,Data Analysis,Universities
1960,temperature,Education,Data Analysis,Universities
1961,camels,Environmental,Data Analysis,Independent
1962,flow,Forestry,Research,Universities
1963,precipitation,Economy/Sales/trends markets,Data Analysis,Independent
1964,flow,Environmental,Engineering projects,Universities
1966,precipitation,Hidrology,Data Analysis,Universities
1967,precipitation,Meteorology,Engineering projects,Universities
1968,precipitation,Agro/Agroindustry/Irrigation,Research,Universities
1969,flow,Geografy/Geophysics/Geology,Research,Universities
1970,max/min temperature,Health,Research,Universities
1971,temperature,Hidrology,Data Analysis,Universities
1972,precipitation,Hidrology,Data Analysis,Universities
1973,flow,Hidrology,Research,Universities
1974,precipitation,Hidrology,Engineering projects,Universities
1975,temperature,Forestry,Data Analysis,Private sector (companies)
1976,flow,Hidrology,Research,Universities
1977,temperature,Geografy/Geophysics/Geology,Engineering projects,Universities
1978,flow,Education,Teaching,Universities
1979,max/min temperature,Building/Architecture,Research,Universities
1980,precipitation,Building/Architecture,Data Analysis,Universities
1981,temperature,Mathematics/Statistics/Modeling,Data Analysis,Universities
1982,temperature,Environmental,Research,Universities
1983,flow,Education,Teaching,Universities
1984,flow,Environmental,Teaching,Universities
1985,temperature,Forestry,Data Analysis,Universities
1986,cr2met,Hidrology,Data Analysis,Universities
1987,cr2met,Hidrology,Teaching,Universities
1988,flow,Hidrology,Research,Universities
1989,temperature,Oceanography,Research,Center Research
1990,flow,Hidrology,Engineering projects,Universities
1991,precipitation,Meteorology,Research,Universities
1992,flow,Hidrology,Engineering projects,Universities
1993,precipitation,Mathematics/Statistics/Modeling,Data Analysis,Universities
1994,precipitation,Mining,Engineering projects,Private sector (companies)
1995,cr2met,Geografy/Geophysics/Geology,Data Analysis,Universities
1996,cr2met,GIS/Teledetection,Research,Universities
1997,flow,Energy,Data Analysis,Universities
1998,precipitation,Environmental,Data Analysis,Universities
1999,max/min temperature,Geografy/Geophysics/Geology,Research,Universities
2000,cr2met,Meteorology,Research,Universities
2001,cr2met,Meteorology,Engineering projects,Universities
2002,flow,Geografy/Geophysics/Geology,Research,Universities
2003,flow,Hidrology,Research,Universities
2004,precipitation,Geografy/Geophysics/Geology,Data Analysis,Universities
2005,camels,Hidrology,Engineering projects,Private sector (companies)
2006,flow,Hidrology,Engineering projects,Private sector (companies)
2007,flow,Geografy/Geophysics/Geology,Research,Universities
2008,precipitation,Building/Architecture,Research,Universities
2009,dendro_sada,Environmental,Research,Public sector (state agencies)
2011,temperature,Environmental,Research,Universities
2012,precipitation,Environmental,Research,Universities
2013,temperature,Geografy/Geophysics/Geology,Research,Universities
2014,precipitation,Building/Architecture,Data Analysis,Universities
2015,temperature,Forestry,Research,Universities
2016,cr2met,Hidrology,Engineering projects,Private sector (companies)
2018,flow,Hidrology,Data Analysis,Universities
2019,global simulation,Geografy/Geophysics/Geology,Teaching,Other educational institutions
2020,global simulation,Environmental,Data Analysis,Universities
2021,temperature,Economy/Sales/trends markets,Research,Universities
2022,cr2met,Hidrology,Engineering projects,Private sector (companies)
2023,temperature,Environmental,Engineering projects,Universities
2024,temperature,Environmental,Data Analysis,Universities
2025,temperature,Oceanography,Data Analysis,Universities
2026,cr2met,Agro/Agroindustry/Irrigation,Research,Universities
2027,flow,Hidrology,Research,Universities
2028,temperature,Building/Architecture,Data Analysis,Universities
2029,precipitation,Agro/Agroindustry/Irrigation,Teaching,Other educational institutions
2030,temperature,Environmental,Research,Universities
2032,precipitation,Ecology,Data Analysis,NGO
2033,flow,Hidrology,Research,Universities
2034,precipitation,Hidrology,Data Analysis,Private sector (companies)
2035,flow,Sanitary Services,Engineering projects,Independent
2037,cr2met,Building/Architecture,Data Analysis,Universities
2038,precipitation,GIS/Teledetection,Research,Universities
2039,precipitation,Environmental,Data Analysis,Universities
2040,cr2met,Hidrology,Teaching,Universities
2041,cr2met,Hidrology,Research,Universities
2042,cr2met,Hidrology,Data Analysis,Universities
2043,cr2met,Hidrology,Data Analysis,Universities
2044,cr2met,Forestry,Research,Universities
2045,cr2met,Hidrology,Research,Universities
2046,precipitation,Environmental,Research,Universities
2047,cr2met,Geografy/Geophysics/Geology,Research,Universities
2048,flow,Mathematics/Statistics/Modeling,Research,Universities
2049,precipitation,Hidrology,Research,Universities
2050,precipitation,Building/Architecture,Research,Universities
2051,precipitation,Building/Architecture,Engineering projects,Private sector (companies)
2052,precipitation,Building/Architecture,Engineering projects,Private sector (companies)
2053,precipitation,Geografy/Geophysics/Geology,Research,Universities
2054,precipitation,Building/Architecture,Engineering projects,Private sector (companies)
2055,precipitation,Building/Architecture,Engineering projects,Private sector (companies)
2056,precipitation,Hidrology,Data Analysis,Universities
2057,dendro_sada,Environmental,Teaching,Universities
2058,dendro_sada,Archeology,Research,Center Research
2059,dendro_sada,Ecology,Teaching,Universities
2060,dendro_sada,Ecology,Research,Public sector (state agencies)
2061,dendro_sada,Archeology,Research,Universities
2062,dendro_sada,Archeology,Research,Center Research
2063,dendro_sada,Archeology,Research,Universities
2064,dendro_sada,Anthropology,Research,Universities
2065,dendro_sada,History,Research,Universities
2067,dendro_sada,Hidrology,Research,Universities
2068,dendro_sada,Environmental,Research,Center Research
2069,dendro_sada,Meteorology,Data Analysis,Public sector (state agencies)
2070,dendro_sada,Agro/Agroindustry/Irrigation,Research,Universities
2071,dendro_sada,Ecology,Research,Universities
2072,dendro_sada,Environmental,Research,Center Research
2073,dendro_sada,Ecology,Research,Center Research
2074,dendro_sada,Ecology,Research,Center Research
2075,dendro_sada,Hidrology,Research,Trade-union associations and other organizations
2076,dendro_sada,Agro/Agroindustry/Irrigation,Data Analysis,Independent
2078,dendro_sada,Energy,Teaching,Universities
2080,dendro_sada,GIS/Teledetection,Research,Center Research
2082,dendro_sada,Ecology,Research,Universities
2083,dendro_sada,Mathematics/Statistics/Modeling,Research,Center Research
2084,dendro_sada,Meteorology,Research,Universities
2085,dendro_sada,Forestry,Research,Universities
2086,dendro_sada,Communications,Research,Public sector (state agencies)
2087,dendro_sada,Environmental,Research,Universities
2088,dendro_sada,Environmental,Research,Universities
2089,dendro_sada,Forestry,Research,Center Research
2090,dendro_sada,GIS/Teledetection,Research,Public sector (state agencies)
2091,dendro_sada,Agro/Agroindustry/Irrigation,Data Analysis,Independent
2092,dendro_sada,Forestry,Teaching,Other educational institutions
2093,dendro_sada,Environmental,Data Analysis,Independent
2094,dendro_sada,Agro/Agroindustry/Irrigation,Research,Private sector (companies)
2095,dendro_sada,Hidrology,Data Analysis,Independent
